word,up_count,down_count,total,up1,down1,p_score,polarity
위험/NNG;회피/NNG;성향/NNG;강화/NNG,5.0,11.0,16.0,6.0,12.0,0.3264201104056064,Dovish
가격/NNG;상향/NNG,28.0,13.0,41.0,29.0,14.0,1.3523118859660839,Hawikish
디자인/NNG,8.0,14.0,22.0,9.0,15.0,0.39170413248672775,Dovish
영구/NNG,85.0,78.0,163.0,86.0,79.0,0.7106868226552444,Dovish
채권시장/NNG;안정/NNG,24.0,25.0,49.0,25.0,26.0,0.6277309815492432,Dovish
넘나들/VV,10.0,11.0,21.0,11.0,12.0,0.5984368690769452,Dovish
준공/NNG,56.0,26.0,82.0,57.0,27.0,1.378218243934783,Hawikish
아직/MAG;금리/NNG;인상/NNG,13.0,5.0,18.0,14.0,6.0,1.523293848559497,Hawikish
이은/VV,27.0,24.0,51.0,28.0,25.0,0.7311810473085585,Dovish
소비/NNG;회복/NNG,35.0,31.0,66.0,36.0,32.0,0.7344452484126146,Dovish
아마/MAG,20.0,7.0,27.0,21.0,8.0,1.713705579629434,Hawikish
공석/NNG,41.0,13.0,54.0,42.0,14.0,1.9585206624336389,Hawikish
재정/NNG;지출/NNG;축소/NNG,9.0,8.0,17.0,10.0,9.0,0.7253780231235699,Dovish
설명회/NNG,38.0,14.0,52.0,39.0,15.0,1.6973845741091538,Hawikish
시켜/VV,5.0,10.0,15.0,6.0,11.0,0.3560946658970252,Dovish
금리연동/NNG,14.0,16.0,30.0,15.0,17.0,0.5760354889510703,Dovish
인플레이션/NNG;경계/NNG,54.0,17.0,71.0,55.0,18.0,1.9947895635898172,Hawikish
세미/NNG,6.0,10.0,16.0,7.0,11.0,0.4154437768798628,Dovish
마이너스gdp/NNG,19.0,36.0,55.0,20.0,37.0,0.3528866058438988,Dovish
사무/NNG,16.0,4.0,20.0,17.0,5.0,2.2196567507581237,Hawikish
경제분석/NNG,13.0,2.0,15.0,14.0,3.0,3.046587697118994,Hawikish
세액공제/NNG,28.0,12.0,40.0,29.0,13.0,1.456335877194244,Hawikish
원유/NNG,242.0,117.0,359.0,243.0,118.0,1.3444082513315656,Hawikish
외생/NNG,9.0,29.0,38.0,10.0,30.0,0.21761340693707099,Dovish
감원/NNG,51.0,15.0,66.0,52.0,16.0,2.121730717636442,Hawikish
전망/NNG;금리/NNG;인하/NNG,12.0,15.0,27.0,13.0,16.0,0.5304326794091105,Dovish
분간/NNG,8.0,11.0,19.0,9.0,12.0,0.48963016560840966,Dovish
바로미터/NNG,9.0,9.0,18.0,10.0,10.0,0.6528402208112128,Dovish
금리/NNG;인상/NNG;중단/NNG,52.0,16.0,68.0,53.0,17.0,2.0353253942937815,Hawikish
베이비스텝/NNG,17.0,8.0,25.0,18.0,9.0,1.305680441622426,Hawikish
공격적/VAX,199.0,94.0,293.0,200.0,95.0,1.3744004648657115,Hawikish
포천/NNG,18.0,30.0,48.0,19.0,31.0,0.40012787727138854,Dovish
